日期,價平買權次週每日結算價,價平買權近週每日結算價,價平賣權次週每日結算價,價平賣權近週每日結算價,價平買權近週報酬,價平賣權近週報酬,價平買權近週報酬(金額),價平賣權近週報酬(金額),訊號,策略損益(金額)
2021/5/12,429,0.5,332,855,-48.5,662,-2425,33100,1,-2425
2021/5/13,,259,,295,-173,-40,-8650,-2000,1,-8650
2021/5/14,,334,,168,75,-127,3750,-6350,1,3750
2021/5/17,,76,,414,-258,246,-12900,12300,1,-12900
2021/5/18,,565,,18.5,489,-395.5,24450,-19775,1,24450
2021/5/19,316,540,258,0.2,-25,-18.3,-1250,-915,1,-1250
2021/5/20,,260,,245,-59,-16,-2950,-800,1,-2950
2021/5/21,,402,,108,142,-137,7100,-6850,1,7100
2021/5/24,,385,,62,-17,-46,-850,-2300,1,-850
2021/5/25,,600,,5.1,215,-56.9,10750,-2845,1,10750
2021/5/26,214,635,172,0.2,35,-4.9,1750,-245,1,1750
2021/5/27,,163,,204,-54,29,-2700,1450,1,-2700
2021/5/28,,343,,62,180,-142,9000,-7100,1,9000
2021/5/31,,454,,20.5,111,-41.5,5550,-2075,1,5550
2021/6/1,,560,,2,106,-18.5,5300,-925,1,5300
2021/6/2,236,530,157,0.2,-30,-1.8,-1500,-90,1,-1500
2021/6/3,,290,,88,51,-72,2550,-3600,1,2550
2021/6/4,,201,,122,-89,34,-4450,1700,1,-4450
2021/6/7,,164,,99,-37,-23,-1850,-1150,1,-1850
2021/6/8,,112,,50,-52,-49,-2600,-2450,1,-2600
2021/6/9,184,0.1,173,103,-111.9,53,-5595,2650,1,-5595
2021/6/10,,274,,64,87,-112,4350,-5600,1,4350
2021/6/11,,301,,32,27,-32,1350,-1600,1,1350
2021/6/15,,450,,2.4,149,-29.6,7450,-1480,1,7450
2021/6/16,216,397,98,0.1,-53,-2.3,-2650,-115,1,-2650
2021/6/17,,253,,63,34,-38,1700,-1900,1,1700
2021/6/18,,201,,64,-52,1,-2600,50,1,-2600
2021/6/21,,47.5,,178,-153.5,114,-7675,5700,1,-7675
2021/6/22,,32,,99,-15.5,-79,-775,-3950,1,-775
2021/6/23,208,147,116,0.1,115,-98.9,5750,-4945,1,5750
2021/6/24,,231,,69,20,-50,1000,-2500,1,1000
2021/6/25,,280,,41,49,-28,2450,-1400,1,2450
2021/6/28,,354,,11,74,-30,3700,-1500,1,3700
2021/6/29,,358,,3.5,4,-7.5,200,-375,1,200
2021/6/30,172,491,108,0.2,133,-3.3,6650,-165,1,6650
2021/7/1,,134,,124,-41,13,-2050,650,1,-2050
2021/7/2,,113,,110,-21,-14,-1050,-700,1,-1050
2021/7/5,,245,,18.5,132,-91.5,6600,-4575,1,6600
2021/7/6,,225,,8.3,-20,-10.2,-1000,-510,1,-1000
2021/7/7,173,100,117,0.3,-125,-8,-6250,-400,1,-6250
2021/7/8,,153,,105,-23,-15,-1150,-750,1,-1150
2021/7/9,,65,,173,-88,68,-4400,3400,1,-4400
2021/7/12,,106,,70,41,-103,2050,-5150,1,2050
2021/7/13,,103,,34.5,-3,-35.5,-150,-1775,1,-150
2021/7/14,165,0.2,141,4.3,-102.8,-30.2,-5140,-1510,1,-5140
2021/7/15,,244,,72,76,-72,3800,-3600,1,3800
2021/7/16,,145,,70,-99,-2,-4950,-100,1,-4950
2021/7/19,,68,,124,-77,54,-3850,2700,1,-3850
2021/7/20,,4.2,,295,-63.8,171,-3190,8550,1,-3190
2021/7/21,288,0.4,118,420,-3.8,125,-190,6250,1,-190
2021/7/22,,319,,47,28,-74,1400,-3700,1,1400
2021/7/23,,313,,37.5,-6,-9.5,-300,-475,1,-300
2021/7/26,,153,,55,-160,17.5,-8000,875,1,-8000
2021/7/27,,85,,53,-68,-2,-3400,-100,1,-3400
2021/7/28,269,0.3,153,178,-84.7,125,-4235,6250,-1,-4235
2021/7/29,,485,,30,213,-126,10650,-6300,-1,-6300
2021/7/30,,358,,55,-127,25,-6350,1250,-1,1250
2021/8/2,,575,,5.9,217,-49.1,10850,-2455,-1,-2455
2021/8/3,,600,,1.8,25,-4.1,1250,-205,-1,-205
2021/8/4,174,655,108,655,55,653.2,2750,32660,1,32660
2021/8/5,,147,,104,-30,-7,-1500,-350,1,-1500
2021/8/6,,82,,143,-65,39,-3250,1950,1,-3250
2021/8/9,,41.5,,139,-40.5,-4,-2025,-200,1,-2025
2021/8/10,,3,,217,-38.5,78,-1925,3900,1,-1925
2021/8/11,169,0.1,146,379,-2.9,162,-145,8100,1,-145
2021/8/12,,143,,133,-29,-16,-1450,-800,1,-1450
2021/8/13,,39,,255,-104,122,-5200,6100,1,-5200
2021/8/16,,7,,388,-32,133,-1600,6650,1,-1600
2021/8/17,,1.4,,575,-5.6,187,-280,9350,1,-280
2021/8/18,194,0.1,123,362,-1.3,-213,-65,-10650,1,-65
2021/8/19,,47.5,,351,-149.5,225,-7475,11250,1,-7475
2021/8/20,,18,,463,-29.5,112,-1475,5600,1,-1475
2021/8/23,,127,,86,109,-377,5450,-18850,1,5450
2021/8/24,,157,,22,30,-64,1500,-3200,1,1500
